Period,Frame,Time [s],Team,Player,X,Y,Ball_x,Ball_y
1,8,0.32,Team A,2,20.553119321310106,74.53906723224154,50.0,50.0
1,8,0.32,Team A,3,20.381599236802277,97.38944122111636,50.0,50.0
1,8,0.32,Team A,4,50.0,26.08000000000001,50.0,50.0
1,8,0.32,Team A,5,46.07999999999998,50.0,50.0,50.0
1,8,0.32,Team A,6,50.0,73.91999999999996,50.0,50.0
1,8,0.32,Team A,7,50.0,96.91999999999996,50.0,50.0
1,8,0.32,Team A,8,79.83206877504186,24.929865378140367,50.0,50.0
1,8,0.32,Team A,9,80.05259701265729,74.45565304010361,50.0,50.0
1,8,0.32,Team A,10,2.004370100595889,50.103982970685486,50.0,50.0
1,8,0.32,Team B,0,84.41411190073114,25.418491499477746,50.0,50.0
1,8,0.32,Team B,1,84.28000000000002,50.0,50.0,50.0
1,8,0.32,Team B,2,84.41411190073114,74.58150850052219,50.0,50.0
1,8,0.32,Team B,3,84.5757960466364,97.41823457824418,50.0,50.0
1,8,0.32,Team B,4,54.78819457405078,26.05902712974621,50.0,50.0
1,8,0.32,Team B,5,50.92000000000002,50.0,50.0,50.0
1,8,0.32,Team B,6,54.78819457405078,73.94097287025376,50.0,50.0
1,8,0.32,Team B,7,54.88810542899977,96.92581211839791,50.0,50.0
1,8,0.32,Team B,8,24.760943817389755,25.33444006433504,50.0,50.0
1,8,0.32,Team B,9,24.934414195861365,74.58511737907165,50.0,50.0
1,8,0.32,Team B,10,98.06820687704187,49.757861723251274,50.0,50.0
1,9,0.36,Team A,0,20.614577023677896,25.51214751973159,50.0,50.0
1,9,0.36,Team A,1,20.799999999999983,50.0,50.0,50.0
1,9,0.36,Team A,2,20.614577023677896,74.48785248026837,50.0,50.0
1,9,0.36,Team A,3,20.42399915200253,97.32160135679595,50.0,50.0
1,9,0.36,Team A,4,50.0,26.20000000000001,50.0,50.0
1,9,0.36,Team A,5,46.199999999999974,50.0,50.0,50.0
1,9,0.36,Team A,6,50.0,73.79999999999995,50.0,50.0
1,9,0.36,Team A,7,50.0,96.79999999999995,50.0,50.0
1,9,0.36,Team A,8,79.83362390461552,25.009850261537224,50.0,50.0
1,9,0.36,Team A,9,80.03989303563532,74.53463790553887,50.0,50.0
1,9,0.36,Team A,10,1.9751275931729948,50.029519048148316,50.0,50.0
1,9,0.36,Team B,0,84.3490132230346,25.464990554975273,50.0,50.0
1,9,0.36,Team B,1,84.20000000000002,50.0,50.0,50.0
1,9,0.36,Team B,2,84.3490132230346,74.53500944502466,50.0,50.0
1,9,0.36,Team B,3,84.52866227404044,97.35359397582687,50.0,50.0
1,9,0.36,Team B,4,54.7646606378342,26.17669681082912,50.0,50.0
1,9,0.36,Team B,5,50.800000000000026,50.0,50.0,50.0
1,9,0.36,Team B,6,54.7646606378342,73.82330318917084,50.0,50.0
1,9,0.36,Team B,7,54.875672698888636,96.80645790933102,50.0,50.0
1,9,0.36,Team B,8,24.745782080899577,25.412990186846738,50.0,50.0
1,9,0.36,Team B,9,24.94492514446652,74.50581088526805,50.0,50.0
